species,Genus,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Accipiter_albogularis,Accipiter,Accipitridae,Accipitriformes,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_badius,Accipiter,Accipitridae,Accipitriformes,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Dunning,NO,Shrubland,Carnivore,Vertivore,Insessorial
Accipiter_bicolor,Accipiter,Accipitridae,Accipitriformes,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Accipiter_brachyurus,Accipiter,Accipitridae,Accipitriformes,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_brevipes,Accipiter,Accipitridae,Accipitriformes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_butleri,Accipiter,Accipitridae,Accipitriformes,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_castanilius,Accipiter,Accipitridae,Accipitriformes,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_cirrocephalus,Accipiter,Accipitridae,Accipitriformes,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_collaris,Accipiter,Accipitridae,Accipitriformes,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_cooperii,Accipiter,Accipitridae,Accipitriformes,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,NO,Woodland,Carnivore,Vertivore,Aerial
Accipiter_erythrauchen,Accipiter,Accipitridae,Accipitriformes,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_erythropus,Accipiter,Accipitridae,Accipitriformes,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_fasciatus,Accipiter,Accipitridae,Accipitriformes,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_francesiae,Accipiter,Accipitridae,Accipitriformes,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,Dunning,NO,Forest,Carnivore,Invertivore,Insessorial
Accipiter_gentilis,Accipiter,Accipitridae,Accipitriformes,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_griseiceps,Accipiter,Accipitridae,Accipitriformes,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_gularis,Accipiter,Accipitridae,Accipitriformes,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_gundlachi,Accipiter,Accipitridae,Accipitriformes,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_haplochrous,Accipiter,Accipitridae,Accipitriformes,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_henicogrammus,Accipiter,Accipitridae,Accipitriformes,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,Inferred,YES,Forest,Carnivore,Vertivore,Insessorial
Accipiter_henstii,Accipiter,Accipitridae,Accipitriformes,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_hiogaster,Accipiter,Accipitridae,Accipitriformes,26,15.9,9.4,13.9,51.1,197.2,60.8,136.5,30.8,136.5,326.1,DataFromSplit,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_imitator,Accipiter,Accipitridae,Accipitriformes,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_luteoschistaceus,Accipiter,Accipitridae,Accipitriformes,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,Dunning,YES,Forest,Carnivore,Vertivore,Insessorial
Accipiter_madagascariensis,Accipiter,Accipitridae,Accipitriformes,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_melanochlamys,Accipiter,Accipitridae,Accipitriformes,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_melanoleucus,Accipiter,Accipitridae,Accipitriformes,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
