species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Accipiter efficax,Accipiter_efficax,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,28.29,16.12,9.96,15.01,68.48,255.82,76.13,179.05,375.54,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter quartus,Accipiter_quartus,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,23.21,13.12,8.3,11.94,53.19,204.87,63.01,146.99,206.22,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter sp./Abaco,Accipiter_sp./Abaco,Accipiter,Accipitridae,Accipitriformes,ACCIPITRIFORMES,Accipitridae,Accipiter,23.87,13.55,8.57,12.36,55.21,210.48,63.79,152.12,230.6,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Aceros sp./Lifou,Aceros_sp./Lifou,Aceros,Bucerotidae,Bucerotiformes,BUCEROTIFORMES,Bucerotidae,Aceros,178.06,160.53,40.87,67.2,70.16,422.58,82.77,406.86,2100,EP,EP,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Acrocephalus astrolabii,Acrocephalus_astrolabii,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,29.5,16,4.76,4.77,33,100,16.6,83,33.21,EH,EH,Yes,Gambier Islands,-22.430041,-135.43067,NA,NA,NA,NA,NA,NA
Acrocephalus luscinius,Acrocephalus_luscinius,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,36.3,23.44,4.8,4.94,29.95,85.65,14.96,81.95,34.84,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus musae,Acrocephalus_musae,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,37.3,21.93,5.26,5.42,32.68,103,17.48,98.33,41.61,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Acrocephalus nijoi,Acrocephalus_nijoi,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,28,19.8,4.7,4.3,29.4,86.3,15.33,79.7,29.5,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus yamashinae,Acrocephalus_yamashinae,Acrocephalus,Acrocephalidae,Passeriformes,PASSERIFORMES,Sylviidae,Acrocephalus,21.9,14.2,4.3,4.1,28,78,13.96,73,23.29,EH,EH,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Aegolius gradyi,Aegolius_gradyi,Aegolius,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Aegolius,18.65,11.09,7.38,11.43,24.95,130.68,39.36,68.78,119.12,EH,EH,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
