species,Order,Family,Genus,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,ExtinctionPeriodMap,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Accipiter_efficax,Accipitriformes,Accipitridae,Accipiter,ACCIPITRIFORMES,Accipitridae,Accipiter,28.53,16.04,9.96,15.11,67.51,256.42,75.83,185.16,397.8,EX_A,EX_Other,EX_Other,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter_quartus,Accipitriformes,Accipitridae,Accipiter,ACCIPITRIFORMES,Accipitridae,Accipiter,23.42,13.22,8.34,12.03,53.43,206.61,62.35,147.38,208.61,EX_A,EX_Other,EX_Other,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Accipiter_sp_Abaco,Accipitriformes,Accipitridae,Accipiter,ACCIPITRIFORMES,Accipitridae,Accipiter,23.9,13.57,8.58,12.38,55.1,210.67,63.31,152.47,230.6,EX_A,EX_Other,EX_Other,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Aceros_sp_Lifou,Bucerotiformes,Bucerotidae,Aceros,BUCEROTIFORMES,Bucerotidae,Aceros,179.59,163.65,41.13,68.48,71.11,433.66,86.17,418.44,2100,EX_A,EX_Other,EX_Other,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Acrocephalus_astrolabii,Passeriformes,Acrocephalidae,Acrocephalus,PASSERIFORMES,Sylviidae,Acrocephalus,29.5,15.32,4.71,4.7,33,100,16.32,83,32.4,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Gambier Islands,-22.430041,-135.43067,NA,NA,NA,NA,NA,NA
Acrocephalus_luscinius,Passeriformes,Acrocephalidae,Acrocephalus,PASSERIFORMES,Sylviidae,Acrocephalus,36.3,23.44,4.8,4.94,29.95,85.65,14.96,81.95,34.91,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus_musae,Passeriformes,Acrocephalidae,Acrocephalus,PASSERIFORMES,Sylviidae,Acrocephalus,37.3,21.93,5.26,5.42,32.68,103,17.44,98.33,42.08,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Acrocephalus_nijoi,Passeriformes,Acrocephalidae,Acrocephalus,PASSERIFORMES,Sylviidae,Acrocephalus,28,19.8,4.7,4.3,29.4,86.3,15.21,79.7,29.09,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Acrocephalus_yamashinae,Passeriformes,Acrocephalidae,Acrocephalus,PASSERIFORMES,Sylviidae,Acrocephalus,21.9,14.2,4.3,4.1,28,78,13.95,73,23.31,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Aegolius_gradyi,Strigiformes,Strigidae,Aegolius,STRIGIFORMES,Strigidae,Aegolius,18.89,11.17,7.41,11.44,24.53,133.63,39.4,72.14,116.14,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Bermuda,32.312663,-64.741509,NA,NA,NA,NA,NA,NA
Aegotheles_novazelandiae,Caprimulgiformes,Aegothelidae,Aegotheles,APODIFORMES,Aegothelidae,Aegotheles,20.96,9.63,5.24,4.76,32.69,186.21,42.47,138.2,113.8,EX_A,EX_Other,EX_Other,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Aegypius_prepyrenaicus,Accipitriformes,Accipitridae,Aegypius,ACCIPITRIFORMES,Accipitridae,Aegypius,94.91,59.45,27.88,43.33,138.27,756.49,283.58,405.42,9320.6,EX_A,EX_Other,EX_Other,No,continental_Palearctic,57.499934,80.873219,NA,NA,NA,NA,NA,NA
Aepyornis_hildebrandti,Aepyornithiformes,Aepyornithidae,Aepyornis,Extinct,Extinct,Extinct,130.67,54.1,38.45,40.25,330.86,371.42,12.87,142.4,283150,EX_A,EX_Other,EX_Other,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Aepyornis_maximus,Aepyornithiformes,Aepyornithidae,Aepyornis,Extinct,Extinct,Extinct,146.34,61.26,42.94,44.23,368.92,396.48,12.39,161.95,409500,EX_A,EX_Other,EX_Other,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Aerodramus_manuoi,Caprimulgiformes,Apodidae,Aerodramus,APODIFORMES,Apodidae,Collocalia,6.73,2.73,2.38,2.02,9.7,113,79.58,50.99,13.23,EX_A,EX_Other,EX_Other,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
aff.Tadorna_sp_Kauai,Anseriformes,Anatidae,Tadorna,ANSERIFORMES,Anatidae,Tadorna,48.2,28.58,17.22,14.69,56.63,307.49,145.32,113.18,1235,EX_U,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia_chascax,Passeriformes,Fringillidae,Aidemedia,PASSERIFORMES,Fringillidae,Extinct,19.78,13.37,6.8,8.42,22.21,90.23,21.27,64.06,32.28,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia_lutetiae,Passeriformes,Fringillidae,Aidemedia,PASSERIFORMES,Fringillidae,Extinct,19.02,12.87,6.63,8.2,21.64,87.71,20.77,62.24,30.29,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aidemedia_zanclops,Passeriformes,Fringillidae,Aidemedia,PASSERIFORMES,Fringillidae,Extinct,18.71,12.63,6.54,8.09,21.46,86.89,20.66,61.79,29.69,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Aiolornis_incredibilis,Cathartiformes,Teratornithidae,Aiolornis,ACCIPITRIFORMES,Extinct,Extinct,114.94,68.32,28.24,37.13,138.01,770.76,195.04,475.97,23000,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Akialoa_ellisiana,Passeriformes,Fringillidae,Akialoa,PASSERIFORMES,Fringillidae,Hemignathus,59.39,47.24,4.32,5.08,22.91,82.07,21.91,48.75,29.5,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa_lanaiensis,Passeriformes,Fringillidae,Akialoa,PASSERIFORMES,Fringillidae,Hemignathus,38.22,29.7,4.67,5.81,21.2,79.25,21.33,44.4,27.5,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa_obscura,Passeriformes,Fringillidae,Akialoa,PASSERIFORMES,Fringillidae,Hemignathus,40.89,33.36,4.01,4.99,25.56,80.19,20.19,40,25.11,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Akialoa_stejnegeri,Passeriformes,Fringillidae,Akialoa,PASSERIFORMES,Fringillidae,Hemignathus,59.82,52.77,4.2,5.51,27.32,92.5,25.14,51,36.71,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Alectroenas_nitidissimus,Columbiformes,Columbidae,Alectroenas,COLUMBIFORMES,Columbidae,Alectroenas,24.75,11.86,5,5.88,31.49,216.69,86.36,111,302.18,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alectroenas_payandeei,Columbiformes,Columbidae,Alectroenas,COLUMBIFORMES,Columbidae,Alectroenas,21.57,10.11,4.3,5.06,28.54,173.1,54.8,96.66,219.11,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alectroenas_sp_Reunion,Columbiformes,Columbidae,Alectroenas,COLUMBIFORMES,Columbidae,Alectroenas,20.03,9.39,4,4.65,26.45,161.62,52.43,89.37,173,EX_A,EX_Other,EX_POST1500,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Pampusana_ferruginea,Columbiformes,Columbidae,Pampusana,COLUMBIFORMES,Columbidae,Gallicolumba,23.38,11.22,3.85,4.86,32.09,153.31,40.1,96.83,114.6,EX_IUCN,EX_IUCN,EX_IUCN,Yes,New Hebrides / Vanuatu,-15.880916,167.814649,NA,NA,NA,NA,NA,NA
Pampusana_leonpascoi,Columbiformes,Columbidae,Pampusana,COLUMBIFORMES,Columbidae,Gallicolumba,27.54,13.29,4.47,5.85,37.52,182.8,47.17,115.17,212.76,EX_A,EX_Other,EX_Other,Yes,Pitcairn Islands,-24.367163,-128.327394,NA,NA,NA,NA,NA,NA
Pampusana_longitarsus,Columbiformes,Columbidae,Pampusana,COLUMBIFORMES,Columbidae,Gallicolumba,27.85,13.31,4.43,5.67,40.34,182.07,44.56,115.94,203.35,EX_A,EX_Other,EX_Other,Yes,New Caledonia,-21.369993,166.149178,NA,NA,NA,NA,NA,NA
Pampusana_nui,Columbiformes,Columbidae,Pampusana,COLUMBIFORMES,Columbidae,Gallicolumba,28.66,13.69,4.59,5.98,40.2,186.5,45.92,119.68,230.25,EX_A,EX_Other,EX_Other,Yes,Cook Islands,-20.219417,-158.905882,Marquesas,-9.555453,-139.438929,Society Islands,-17.208191,-151.278983
Pampusana_salamonis,Columbiformes,Columbidae,Pampusana,COLUMBIFORMES,Columbidae,Gallicolumba,25.4,12.7,4.15,5.28,33.02,165.1,42.41,101.4,160.85,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Solomons Islands,-9.297116,160.4441,NA,NA,NA,NA,NA,NA
Alopochen_kervazoi,Anseriformes,Anatidae,Alopochen,ANSERIFORMES,Anatidae,Alopochen,47.69,27.3,18.91,17.5,71.38,334.62,125.51,121.87,1975.82,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alopochen_mauritiana,Anseriformes,Anatidae,Alopochen,ANSERIFORMES,Anatidae,Alopochen,45.6,26.4,17.38,15.71,63.76,303.17,117.22,114.28,1466.24,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Alopochen_sirabensis,Anseriformes,Anatidae,Alopochen,ANSERIFORMES,Anatidae,Alopochen,46.9,27.3,18.19,16.41,65.72,322.44,137.23,120.06,1686.28,EX_A,EX_Other,EX_Other,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Amazona_martinicana,Psittaciformes,Psittacidae,Amazona,PSITTACIFORMES,Psittacidae,Amazona,39.64,30.2,17.8,31.37,24.21,217.5,67.96,124.03,529.5,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amazona_sp_Montserrat,Psittaciformes,Psittacidae,Amazona,PSITTACIFORMES,Psittacidae,Amazona,30.66,23.24,14.05,23.98,19.07,169.35,54.77,96.22,213,EX_A,EX_Other,EX_Other,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amazona_sp_GrandTurk,Psittaciformes,Psittacidae,Amazona,PSITTACIFORMES,Psittacidae,Amazona,40.47,30.83,18.14,32,24.62,221.62,69.34,126.17,500,EX_A,EX_Other,EX_Other,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Amazona_violacea,Psittaciformes,Psittacidae,Amazona,PSITTACIFORMES,Psittacidae,Amazona,39.57,30.15,17.79,31.25,24.16,217.44,67.91,123.71,529.5,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Amplibuteo_hibbardi,Accipitriformes,Accipitridae,Amplibuteo,ACCIPITRIFORMES,Accipitridae,Extinct,28.87,19.48,12.58,24.14,77.67,290.01,149.09,341.68,6725.43,EX_A,EX_Other,EX_Other,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Amplibuteo_woodwardi,Accipitriformes,Accipitridae,Amplibuteo,ACCIPITRIFORMES,Accipitridae,Extinct,33.99,21.52,13.07,22.57,84.05,321.5,137.95,311.26,3834.04,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anabernicula_gracilenta,Anseriformes,Anatidae,Anabernicula,ANSERIFORMES,Anatidae,Extinct,48.39,29.28,17.26,14.87,48.67,263.86,105.88,99.19,1218.33,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anabernicula_oregonensis,Anseriformes,Anatidae,Anabernicula,ANSERIFORMES,Anatidae,Extinct,49.16,29.68,17.54,15.14,48.92,268.12,109.24,99.72,1259.51,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas_amotape,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,42.93,28.41,14.95,12.45,32.94,200.48,89.51,69.75,472.52,EX_A,EX_Other,EX_Other,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas_chathamica,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,58.81,39.48,19.84,17.32,43.29,273.93,117.93,100.05,1360,EX_A,EX_Other,EX_Other,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Anas_itchtucknee,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,46.13,30.76,15.92,13.48,34.68,214.74,95.59,79.25,623.9,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas_marecula,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,39.15,26.25,13.68,11.45,29.59,180.52,78.43,67.73,412.15,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Amsterdam and St Paul Islands,-38.333567,77.547599,NA,NA,NA,NA,NA,NA
Anas_sanctahelenae,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,41.04,27.27,14.37,11.97,30.6,191.67,88.96,69.98,448.42,EX_A,EX_Other,EX_Other,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas_schneideri,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,42.99,28.67,14.96,12.58,32.43,198.76,88.17,73.75,513.73,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anas_sp_StPaul,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,35.39,23.48,12.51,10.28,27.15,166.98,76.47,61.16,276.4,EX_A,EX_Other,EX_POST1500,Yes,Amsterdam and St Paul Islands,-38.333567,77.547599,NA,NA,NA,NA,NA,NA
Anas_sp_VitiLevu,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,42.88,28.54,14.91,12.51,32.4,200.25,90.14,73.66,499.1,EX_A,EX_Other,EX_Other,Yes,Fiji Islands,-17.839196,179.456641,NA,NA,NA,NA,NA,NA
Anas_talarae,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,41.56,27.9,14.8,12.33,31.33,193.03,86.02,68.82,458.86,EX_A,EX_Other,EX_Other,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Anas_theodori,Anseriformes,Anatidae,Anas,ANSERIFORMES,Anatidae,Anas,49.22,32.55,16.75,14.54,38.4,230.96,97.49,84.64,737.56,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Anatidae_sp_Oahu,Anseriformes,Anatidae,Anatidae_sp.,ANSERIFORMES,Anatidae,NA,56.26,36.76,22.02,19.03,58.29,291.64,113.06,120.92,2822.93,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Anatidae_sp_Rodrigues,Anseriformes,Anatidae,Anatidae_sp.,ANSERIFORMES,Anatidae,NA,34.1,22.75,14.08,11.26,34.28,180.57,83.31,69.46,676.79,EX_A,EX_Other,EX_POST1500,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Anatidae_sp_Rota,Anseriformes,Anatidae,Anatidae_sp.,ANSERIFORMES,Anatidae,NA,38.33,25.17,15.37,12.55,38.8,202.52,88.75,78.92,885.75,EX_A,EX_Other,EX_Other,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Anhinga_beckeri,Suliformes,Anhingidae,Anhinga,SULIFORMES,Anhingidae,Anhinga,85.76,58.93,10.53,13.18,38.54,301.79,110.92,184.19,919.67,EX_A,EX_Other,EX_Other,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Anomalopteryx_didiformis,Dinornithiformes,Emeidae,Anomalopteryx,Extinct,Extinct,Extinct,64.44,26.52,24.24,29.73,174.62,280.72,15.6,70.14,49000,EX_A,EX_Other,EX_Other,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Anser_sp_Eivissa,Anseriformes,Anatidae,Anser,ANSERIFORMES,Anatidae,Anser,54.84,30.65,19.37,17.53,69.53,405.32,194.32,129.05,2571.3,EX_A,EX_Other,EX_Other,Yes,Balearic Islands,39.004513,1.454337,NA,NA,NA,NA,NA,NA
Anthornis_melanocephala,Passeriformes,Meliphagidae,Anthornis,PASSERIFORMES,Meliphagidae,Anthornis,14.97,8.33,3.23,3.93,31.03,91.9,14.93,94.4,28.68,EX_IUCN,EX_IUCN,EX_IUCN,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Aphanapteryx_bonasia,Gruiformes,Rallidae,Aphanapteryx,GRUIFORMES,Rallidae,Extinct,64.33,37.84,6.51,11.63,64.73,189.62,29.67,82.91,626.19,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Aplonis_corvina,Passeriformes,Sturnidae,Aplonis,PASSERIFORMES,Sturnidae,Aplonis,29.6,22.2,7.7,8.55,28.1,130,30.5,10.3,75.63,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Caroline Islands,6.99127,154.78056,NA,NA,NA,NA,NA,NA
Aplonis_diluvialis,Passeriformes,Sturnidae,Aplonis,PASSERIFORMES,Sturnidae,Aplonis,27.26,16.48,6.9,8.2,32.27,130.64,29.61,87.74,99.61,EX_A,EX_Other,EX_Other,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Aplonis_fusca,Passeriformes,Sturnidae,Aplonis,PASSERIFORMES,Sturnidae,Aplonis,17.15,10.12,4.92,6.35,23.02,94,23.75,63.62,46.19,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Norfolk Island,-29.037746,167.958311,Lord Howe Islands,-31.579806,159.091911,NA,NA,NA
Aplonis_mavornata,Passeriformes,Sturnidae,Aplonis,PASSERIFORMES,Sturnidae,Aplonis,23.6,12.5,5.1,6.9,27.2,104,23.8,65,61.98,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
