Order,Family,Genus,species,status,IslandEndemic,GenLength,IslandEndemic2
Accipitriformes,Accipitridae,Accipiter,Accipiter_albogularis,LC,Yes,4.557,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_badius,LC,No,3.541,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_bicolor,LC,No,4.851,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_brachyurus,VU,Yes,3.945,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_brevipes,LC,No,3.888,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_butleri,VU,Yes,4.903,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_castanilius,LC,No,3.805,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_cirrocephalus,LC,No,3.764,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_collaris,LC,No,4.862,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_cooperii,LC,No,5.552,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_erythrauchen,NT,Yes,4.16,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_erythropus,LC,No,3.99,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_fasciatus,LC,No,5.133,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_francesiae,LC,Yes,3.943,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_gentilis,LC,No,7.484,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_griseiceps,LC,Yes,4.635,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_gularis,LC,No,3.719,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_gundlachi,EN,Yes,5.292,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_haplochrous,NT,Yes,4.191,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_henicogrammus,NT,Yes,4.879,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_henstii,VU,Yes,6.932,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_hiogaster,LC,No,3.666,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_imitator,VU,Yes,4.478,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_luteoschistaceus,VU,Yes,4.358,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_madagascariensis,NT,Yes,4.112,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_melanochlamys,LC,No,4.64,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_melanoleucus,LC,No,6.269,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_meyerianus,LC,No,5.721,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_minullus,LC,No,3.815,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_nanus,NT,Yes,4.711,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_nisus,LC,No,5.537,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_novaehollandiae,LC,No,5.038,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_ovampensis,LC,No,4.102,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_poliocephalus,LC,No,5.331,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_poliogaster,NT,No,6.461,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_princeps,VU,Yes,4.747,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_rhodogaster,LC,Yes,4.23,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_rufitorques,LC,Yes,4.468,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_rufiventris,LC,No,4.115,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_soloensis,LC,No,4.012,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_striatus,LC,No,5.473,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_superciliosus,LC,No,3.909,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_sylvestris,LC,Yes,4.466,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_tachiro,LC,No,5.194,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_toussenelii,LC,No,4.204,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_trinotatus,LC,Yes,3.996,Yes
Accipitriformes,Accipitridae,Accipiter,Accipiter_trivirgatus,LC,No,5.017,No
Accipitriformes,Accipitridae,Accipiter,Accipiter_virgatus,LC,No,3.457,No
Accipitriformes,Accipitridae,Aegypius,Aegypius_monachus,NT,No,14.207,No
Accipitriformes,Accipitridae,Aquila,Aquila_adalberti,VU,No,17.393,No
Accipitriformes,Accipitridae,Aquila,Aquila_africana,LC,No,9.497,No
Accipitriformes,Accipitridae,Aquila,Aquila_audax,LC,No,15.542,No
Accipitriformes,Accipitridae,Aquila,Aquila_chrysaetos,LC,No,16.255,No
Accipitriformes,Accipitridae,Aquila,Aquila_fasciata,LC,No,11.337,No
Accipitriformes,Accipitridae,Aquila,Aquila_gurneyi,NT,No,13.514,No
Accipitriformes,Accipitridae,Aquila,Aquila_heliaca,VU,No,16.636,No
Accipitriformes,Accipitridae,Aquila,Aquila_nipalensis,EN,No,12.904,No
Accipitriformes,Accipitridae,Aquila,Aquila_rapax,VU,No,12.697,No
Accipitriformes,Accipitridae,Aquila,Aquila_spilogaster,LC,No,9.851,No
Accipitriformes,Accipitridae,Aquila,Aquila_verreauxii,LC,No,16.078,No
Accipitriformes,Accipitridae,Aviceda,Aviceda_cuculoides,LC,No,5.102,No
Accipitriformes,Accipitridae,Aviceda,Aviceda_jerdoni,LC,No,5.531,No
Accipitriformes,Accipitridae,Aviceda,Aviceda_leuphotes,LC,No,4.617,No
Accipitriformes,Accipitridae,Aviceda,Aviceda_madagascariensis,LC,Yes,5.074,Yes
Accipitriformes,Accipitridae,Aviceda,Aviceda_subcristata,LC,No,5.69,No
Accipitriformes,Accipitridae,Busarellus,Busarellus_nigricollis,LC,No,7.499,No
Accipitriformes,Accipitridae,Butastur,Butastur_indicus,LC,No,4.659,No
Accipitriformes,Accipitridae,Butastur,Butastur_liventer,LC,No,4.676,No
Accipitriformes,Accipitridae,Butastur,Butastur_rufipennis,LC,No,4.855,No
Accipitriformes,Accipitridae,Butastur,Butastur_teesa,LC,No,4.441,No
Accipitriformes,Accipitridae,Buteo,Buteo_albigula,LC,No,6.366,No
Accipitriformes,Accipitridae,Buteo,Buteo_albonotatus,LC,No,6.689,No
Accipitriformes,Accipitridae,Buteo,Buteo_augur,LC,No,8.203,No
Accipitriformes,Accipitridae,Buteo,Buteo_auguralis,LC,No,6.125,No
Accipitriformes,Accipitridae,Buteo,Buteo_brachypterus,LC,Yes,6.563,Yes
