species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Megalapteryx_didinus,Megalapteryx_didinus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Euryapteryx_curtus,Euryapteryx_curtus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Emeus_crassus,Emeus_crassus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anomalopteryx_didiformis,Anomalopteryx_didiformis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_geranoides,Pachyornis_geranoides,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_elephantopus,Pachyornis_elephantopus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_australis,Pachyornis_australis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Dinornis_novaezealandiae,Dinornis_novaezealandiae,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Dinornis_robustus,Dinornis_robustus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Eudromia_formosa,Eudromia_formosa,Extant,Current,Current,No,LC,5.153,No
Eudromia_elegans,Eudromia_elegans,Extant,Current,Current,No,LC,4.965,No
Tinamotis_ingoufi,Tinamotis_ingoufi,Extant,Current,Current,No,LC,2.938,No
Tinamotis_pentlandii,Tinamotis_pentlandii,Extant,Current,Current,No,LC,4.653,No
Nothoprocta_perdicaria,Nothoprocta_perdicaria,Extant,Current,Current,No,LC,4.148,No
Nothoprocta_cinerascens,Nothoprocta_cinerascens,Extant,Current,Current,No,LC,2.783,No
Nothoprocta_pentlandii,Nothoprocta_pentlandii,Extant,Current,Current,No,LC,3.166,No
Nothoprocta_taczanowskii,Nothoprocta_taczanowskii,Extant,Current,Current,No,VU,5.628,No
Nothoprocta_ornata,Nothoprocta_ornata,Extant,Current,Current,No,LC,4.336,No
Nothoprocta_curvirostris,Nothoprocta_curvirostris,Extant,Current,Current,No,LC,5.414,No
Taoniscus_nanus,Taoniscus_nanus,Extant,Current,Current,No,EN,3.388,No
Rhynchotus_rufescens,Rhynchotus_rufescens,Extant,Current,Current,No,LC,6.778,No
Rhynchotus_maculicollis,Rhynchotus_maculicollis,Extant,Current,Current,No,LC,6.351,No
Nothura_maculosa,Nothura_maculosa,Extant,Current,Current,No,LC,3.222,No
Nothura_boraquira,Nothura_boraquira,Extant,Current,Current,No,LC,3.52,No
Nothura_darwinii,Nothura_darwinii,Extant,Current,Current,No,LC,3.196,No
Nothura_chacoensis,Nothura_maculosa,Extant,Current,Current,No,LC,3.222,No
Nothura_minor,Nothura_minor,Extant,Current,Current,No,VU,3.084,No
Crypturellus_soui,Crypturellus_soui,Extant,Current,Current,No,LC,5.081,No
Crypturellus_variegatus,Crypturellus_variegatus,Extant,Current,Current,No,LC,6.478,No
Crypturellus_cinereus,Crypturellus_cinereus,Extant,Current,Current,No,LC,6.164,No
Crypturellus_duidae,Crypturellus_duidae,Extant,Current,Current,No,LC,5.573,No
Crypturellus_undulatus,Crypturellus_undulatus,Extant,Current,Current,No,LC,4.771,No
Crypturellus_casiquiare,Crypturellus_casiquiare,Extant,Current,Current,No,LC,5.537,No
Crypturellus_kerriae,Crypturellus_kerriae,Extant,Current,Current,No,VU,5.464,No
Crypturellus_strigulosus,Crypturellus_strigulosus,Extant,Current,Current,No,LC,5.052,No
Crypturellus_atrocapillus,Crypturellus_atrocapillus,Extant,Current,Current,No,LC,5.566,No
Crypturellus_bartletti,Crypturellus_bartletti,Extant,Current,Current,No,LC,4.863,No
Crypturellus_brevirostris,Crypturellus_brevirostris,Extant,Current,Current,No,LC,5.529,No
Crypturellus_cinnamomeus,Multiple,Extant,Current,Current,No,LC,6.9385,No
Crypturellus_boucardi,Crypturellus_boucardi,Extant,Current,Current,No,LC,4.796,No
Crypturellus_tataupa,Crypturellus_tataupa,Extant,Current,Current,No,LC,4.051,No
Crypturellus_ptaritepui,Crypturellus_ptaritepui,Extant,Current,Current,No,LC,5.481,No
Crypturellus_berlepschi,Crypturellus_berlepschi,Extant,Current,Current,No,LC,5.856,No
Crypturellus_transfasciatus,Crypturellus_transfasciatus,Extant,Current,Current,No,NT,4.579,No
Crypturellus_obsoletus,Crypturellus_obsoletus,Extant,Current,Current,No,LC,4.813,No
Crypturellus_erythropus,Crypturellus_erythropus,Extant,Current,Current,No,LC,5.828,No
Crypturellus_parvirostris,Crypturellus_parvirostris,Extant,Current,Current,No,LC,3.871,No
Crypturellus_noctivagus,Crypturellus_noctivagus,Extant,Current,Current,No,NT,4.925,No
Nothocercus_bonapartei,Nothocercus_bonapartei,Extant,Current,Current,No,LC,4.539,No
Nothocercus_nigrocapillus,Nothocercus_nigrocapillus,Extant,Current,Current,No,LC,4.834,No
Nothocercus_julius,Nothocercus_julius,Extant,Current,Current,No,LC,6.165,No
Tinamus_solitarius,Tinamus_solitarius,Extant,Current,Current,No,NT,4.142,No
Tinamus_tao,Tinamus_tao,Extant,Current,Current,No,VU,5.785,No
Tinamus_osgoodi,Tinamus_osgoodi,Extant,Current,Current,No,VU,8.159,No
Tinamus_major,Tinamus_major,Extant,Current,Current,No,LC,5.839,No
Tinamus_guttatus,Tinamus_guttatus,Extant,Current,Current,No,NT,4.684,No
Struthio_camelus,Multiple,Extant,Current,Current,No,LC,14.5285,No
Struthio_anderssoni,Struthio_anderssoni,Extinct,EX_Other,EX_A,No,EX,NA,No
Dromaius_novaehollandiae,Multiple,Extant,Current,Current,No,LC,7.5285,No
Dromaius_baudinianus,Dromaius_baudinianus,Extinct,EX_IUCN,EX_IUCN,No,EX,NA,No
Dromaius_minor,Dromaius_minor,Extinct,EX_IUCN,EX_IUCN,No,EX,NA,No
Casuarius_unappendiculatus,Casuarius_unappendiculatus,Extant,Current,Current,No,LC,12.722,No
Casuarius_casuarius,Casuarius_casuarius,Extant,Current,Current,No,LC,12.144,No
Casuarius_bennetti,Casuarius_bennetti,Extant,Current,Current,No,LC,11.554,No
Casuarius_lydekkeri,Casuarius_lydekkeri,Extinct,EX_Other,EX_A,No,EX,NA,No
Mullerornis_modestus,Mullerornis_modestus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aepyornis_hildebrandti,Aepyornis_hildebrandti,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
